"Figure 1: The employment rate for all people increased by 0.3 percentage points on the year to 76.4%, but was down 0.2 percentage points on the quarter",""
"Apr-Jun 1995","69.427","76.273","62.681"
"May-Jul 1995","69.494","76.299","62.789"
"Jun-Aug 1995","69.619","76.417","62.921"
"Jul-Sep 1995","69.638","76.438","62.938"
"Aug-Oct 1995","69.669","76.387","63.049"
"Sep-Nov 1995","69.711","76.471","63.051"
"Oct-Dec 1995","69.949","76.711","63.288"
"Nov-Jan 1996","69.964","76.567","63.459"
"Dec-Feb 1996","69.936","76.528","63.442"
"Jan-Mar 1996","69.904","76.502","63.406"
"Feb-Apr 1996","69.895","76.531","63.359"
"Mar-May 1996","69.939","76.558","63.420"
"Apr-Jun 1996","69.938","76.541","63.435"
"May-Jul 1996","69.906","76.593","63.321"
"Jun-Aug 1996","70.022","76.723","63.423"
"Jul-Sep 1996","70.017","76.674","63.462"
"Aug-Oct 1996","70.139","76.724","63.655"
"Sep-Nov 1996","70.294","76.966","63.726"
"Oct-Dec 1996","70.338","76.988","63.794"
"Nov-Jan 1997","70.469","77.198","63.846"
"Dec-Feb 1997","70.628","77.361","64.002"
"Jan-Mar 1997","70.763","77.635","64.002"
"Feb-Apr 1997","70.869","77.782","64.068"
"Mar-May 1997","70.886","77.661","64.222"
"Apr-Jun 1997","71.023","77.822","64.335"
"May-Jul 1997","70.926","77.687","64.276"
"Jun-Aug 1997","70.936","77.817","64.170"
"Jul-Sep 1997","71.077","77.935","64.334"
"Aug-Oct 1997","71.143","78.110","64.294"
"Sep-Nov 1997","71.170","78.138","64.320"
"Oct-Dec 1997","71.201","78.179","64.342"
"Nov-Jan 1998","71.177","78.276","64.201"
"Dec-Feb 1998","71.248","78.359","64.260"
"Jan-Mar 1998","71.278","78.294","64.383"
"Feb-Apr 1998","71.313","78.239","64.509"
"Mar-May 1998","71.291","78.285","64.421"
"Apr-Jun 1998","71.279","78.265","64.417"
"May-Jul 1998","71.418","78.394","64.567"
"Jun-Aug 1998","71.555","78.533","64.703"
"Jul-Sep 1998","71.561","78.453","64.794"
"Aug-Oct 1998","71.646","78.403","65.011"
"Sep-Nov 1998","71.776","78.559","65.116"
"Oct-Dec 1998","71.782","78.599","65.089"
"Nov-Jan 1999","71.859","78.540","65.300"
"Dec-Feb 1999","71.864","78.621","65.229"
"Jan-Mar 1999","71.859","78.619","65.223"
"Feb-Apr 1999","71.828","78.569","65.210"
"Mar-May 1999","71.812","78.607","65.142"
"Apr-Jun 1999","71.887","78.704","65.197"
"May-Jul 1999","71.927","78.792","65.189"
"Jun-Aug 1999","72.026","78.891","65.289"
"Jul-Sep 1999","72.117","78.947","65.415"
"Aug-Oct 1999","72.074","78.964","65.314"
"Sep-Nov 1999","72.195","79.065","65.455"
"Oct-Dec 1999","72.273","79.072","65.603"
"Nov-Jan 2000","72.205","79.058","65.481"
"Dec-Feb 2000","72.162","78.930","65.522"
"Jan-Mar 2000","72.265","79.093","65.567"
"Feb-Apr 2000","72.343","79.232","65.587"
"Mar-May 2000","72.435","79.295","65.707"
"Apr-Jun 2000","72.475","79.220","65.861"
"May-Jul 2000","72.595","79.320","66.001"
"Jun-Aug 2000","72.669","79.305","66.162"
"Jul-Sep 2000","72.627","79.255","66.127"
"Aug-Oct 2000","72.506","79.189","65.951"
"Sep-Nov 2000","72.427","79.123","65.858"
"Oct-Dec 2000","72.501","79.231","65.899"
"Nov-Jan 2001","72.720","79.434","66.132"
"Dec-Feb 2001","72.634","79.313","66.080"
"Jan-Mar 2001","72.641","79.482","65.929"
"Feb-Apr 2001","72.699","79.435","66.088"
"Mar-May 2001","72.737","79.451","66.146"
"Apr-Jun 2001","72.679","79.223","66.256"
"May-Jul 2001","72.583","79.152","66.134"
"Jun-Aug 2001","72.597","79.279","66.037"
"Jul-Sep 2001","72.529","79.245","65.937"
"Aug-Oct 2001","72.536","79.181","66.012"
"Sep-Nov 2001","72.612","79.192","66.151"
"Oct-Dec 2001","72.582","79.111","66.171"
"Nov-Jan 2002","72.466","78.997","66.054"
"Dec-Feb 2002","72.463","78.956","66.087"
"Jan-Mar 2002","72.457","78.899","66.131"
"Feb-Apr 2002","72.571","78.942","66.315"
"Mar-May 2002","72.607","78.972","66.357"
"Apr-Jun 2002","72.685","79.004","66.480"
"May-Jul 2002","72.575","78.947","66.318"
"Jun-Aug 2002","72.665","78.988","66.457"
"Jul-Sep 2002","72.572","78.839","66.417"
"Aug-Oct 2002","72.743","79.170","66.432"
"Sep-Nov 2002","72.780","79.249","66.427"
"Oct-Dec 2002","72.872","79.472","66.391"
"Nov-Jan 2003","72.755","79.350","66.278"
"Dec-Feb 2003","72.636","79.055","66.332"
"Jan-Mar 2003","72.681","79.058","66.419"
"Feb-Apr 2003","72.735","79.174","66.411"
"Mar-May 2003","72.825","79.338","66.430"
"Apr-Jun 2003","72.882","79.502","66.380"
"May-Jul 2003","72.838","79.428","66.365"
"Jun-Aug 2003","72.756","79.300","66.330"
"Jul-Sep 2003","72.780","79.318","66.360"
"Aug-Oct 2003","72.818","79.207","66.545"
"Sep-Nov 2003","72.812","79.137","66.602"
"Oct-Dec 2003","72.769","79.048","66.604"
"Nov-Jan 2004","72.984","79.251","66.833"
"Dec-Feb 2004","73.044","79.365","66.838"
"Jan-Mar 2004","73.034","79.398","66.788"
"Feb-Apr 2004","72.959","79.327","66.708"
"Mar-May 2004","72.935","79.362","66.628"
"Apr-Jun 2004","72.879","79.241","66.634"
"May-Jul 2004","72.829","79.231","66.546"
"Jun-Aug 2004","72.817","79.233","66.521"
"Jul-Sep 2004","72.867","79.293","66.562"
"Aug-Oct 2004","72.868","79.242","66.613"
"Sep-Nov 2004","72.999","79.352","66.764"
"Oct-Dec 2004","73.041","79.368","66.833"
"Nov-Jan 2005","73.102","79.425","66.898"
"Dec-Feb 2005","73.175","79.379","67.087"
"Jan-Mar 2005","73.077","79.361","66.912"
"Feb-Apr 2005","72.922","79.195","66.768"
"Mar-May 2005","72.903","79.084","66.839"
"Apr-Jun 2005","72.895","79.130","66.778"
"May-Jul 2005","72.970","79.125","66.933"
"Jun-Aug 2005","73.041","79.135","67.063"
"Jul-Sep 2005","73.045","79.152","67.055"
"Aug-Oct 2005","72.901","79.013","66.906"
"Sep-Nov 2005","72.754","78.915","66.711"
"Oct-Dec 2005","72.674","78.850","66.615"
"Nov-Jan 2006","72.757","78.962","66.671"
"Dec-Feb 2006","72.821","78.936","66.824"
"Jan-Mar 2006","72.904","78.842","67.080"
"Feb-Apr 2006","72.911","78.980","66.959"
"Mar-May 2006","72.812","78.846","66.894"
"Apr-Jun 2006","72.843","78.819","66.983"
"May-Jul 2006","72.894","78.963","66.941"
"Jun-Aug 2006","73.023","79.092","67.070"
"Jul-Sep 2006","72.817","79.066","66.688"
"Aug-Oct 2006","72.779","78.974","66.703"
"Sep-Nov 2006","72.745","78.912","66.696"
"Oct-Dec 2006","72.707","78.880","66.652"
"Nov-Jan 2007","72.632","78.882","66.499"
"Dec-Feb 2007","72.499","78.758","66.358"
"Jan-Mar 2007","72.502","78.736","66.387"
"Feb-Apr 2007","72.535","78.766","66.423"
"Mar-May 2007","72.691","79.023","66.479"
"Apr-Jun 2007","72.651","78.925","66.495"
"May-Jul 2007","72.637","78.845","66.547"
"Jun-Aug 2007","72.644","78.854","66.551"
"Jul-Sep 2007","72.683","78.897","66.585"
"Aug-Oct 2007","72.767","78.973","66.677"
"Sep-Nov 2007","72.830","79.101","66.676"
"Oct-Dec 2007","72.909","79.084","66.849"
"Nov-Jan 2008","72.932","79.078","66.901"
"Dec-Feb 2008","73.021","79.126","67.030"
"Jan-Mar 2008","72.976","79.083","66.981"
"Feb-Apr 2008","72.964","79.077","66.964"
"Mar-May 2008","73.027","79.020","67.146"
"Apr-Jun 2008","72.900","78.904","67.007"
"May-Jul 2008","72.787","78.735","66.949"
"Jun-Aug 2008","72.555","78.436","66.783"
"Jul-Sep 2008","72.436","78.328","66.654"
"Aug-Oct 2008","72.280","78.072","66.597"
"Sep-Nov 2008","72.291","78.089","66.601"
"Oct-Dec 2008","72.174","77.969","66.488"
"Nov-Jan 2009","72.194","77.903","66.593"
"Dec-Feb 2009","71.882","77.554","66.317"
"Jan-Mar 2009","71.673","77.289","66.164"
"Feb-Apr 2009","71.396","76.943","65.953"
"Mar-May 2009","71.049","76.373","65.826"
"Apr-Jun 2009","70.840","76.043","65.737"
"May-Jul 2009","70.615","75.753","65.575"
"Jun-Aug 2009","70.661","75.682","65.736"
"Jul-Sep 2009","70.617","75.529","65.797"
"Aug-Oct 2009","70.600","75.475","65.817"
"Sep-Nov 2009","70.579","75.374","65.874"
"Oct-Dec 2009","70.552","75.318","65.875"
"Nov-Jan 2010","70.416","75.098","65.823"
"Dec-Feb 2010","70.280","74.998","65.650"
"Jan-Mar 2010","70.195","74.919","65.559"
"Feb-Apr 2010","70.214","74.999","65.517"
"Mar-May 2010","70.398","75.349","65.537"
"Apr-Jun 2010","70.423","75.444","65.494"
"May-Jul 2010","70.621","75.730","65.607"
"Jun-Aug 2010","70.639","75.798","65.573"
"Jul-Sep 2010","70.705","75.934","65.571"
"Aug-Oct 2010","70.490","75.739","65.336"
"Sep-Nov 2010","70.339","75.549","65.222"
"Oct-Dec 2010","70.390","75.661","65.213"
"Nov-Jan 2011","70.469","75.741","65.289"
"Dec-Feb 2011","70.586","75.793","65.471"
"Jan-Mar 2011","70.546","75.656","65.525"
"Feb-Apr 2011","70.482","75.757","65.298"
"Mar-May 2011","70.512","75.694","65.420"
"Apr-Jun 2011","70.450","75.582","65.407"
"May-Jul 2011","70.220","75.243","65.282"
"Jun-Aug 2011","70.195","75.184","65.292"
"Jul-Sep 2011","70.105","74.946","65.347"
"Aug-Oct 2011","70.144","75.019","65.352"
"Sep-Nov 2011","70.145","75.022","65.351"
"Oct-Dec 2011","70.218","75.159","65.362"
"Nov-Jan 2012","70.240","75.236","65.329"
"Dec-Feb 2012","70.313","75.479","65.235"
"Jan-Mar 2012","70.467","75.575","65.446"
"Feb-Apr 2012","70.528","75.643","65.500"
"Mar-May 2012","70.660","75.805","65.604"
"Apr-Jun 2012","70.908","76.126","65.778"
"May-Jul 2012","71.064","76.180","66.035"
"Jun-Aug 2012","71.164","76.362","66.054"
"Jul-Sep 2012","71.131","76.324","66.026"
"Aug-Oct 2012","71.072","76.270","65.962"
"Sep-Nov 2012","71.290","76.377","66.289"
"Oct-Dec 2012","71.404","76.403","66.490"
"Nov-Jan 2013","71.357","76.300","66.497"
"Dec-Feb 2013","71.163","75.984","66.423"
"Jan-Mar 2013","71.180","75.950","66.490"
"Feb-Apr 2013","71.239","75.997","66.562"
"Mar-May 2013","71.205","76.002","66.488"
"Apr-Jun 2013","71.332","76.139","66.606"
"May-Jul 2013","71.485","76.315","66.735"
"Jun-Aug 2013","71.509","76.447","66.653"
"Jul-Sep 2013","71.654","76.712","66.680"
"Aug-Oct 2013","71.875","76.835","66.998"
"Sep-Nov 2013","72.034","77.074","67.076"
"Oct-Dec 2013","71.994","76.951","67.119"
"Nov-Jan 2014","72.104","77.130","67.159"
"Dec-Feb 2014","72.373","77.318","67.509"
"Jan-Mar 2014","72.460","77.422","67.579"
"Feb-Apr 2014","72.690","77.646","67.814"
"Mar-May 2014","72.903","77.885","68.002"
"Apr-Jun 2014","72.830","77.835","67.905"
"May-Jul 2014","72.784","77.734","67.914"
"Jun-Aug 2014","72.974","77.963","68.064"
"Jul-Sep 2014","73.043","78.052","68.112"
"Aug-Oct 2014","73.007","77.903","68.188"
"Sep-Nov 2014","72.993","77.840","68.221"
"Oct-Dec 2014","73.203","77.974","68.506"
"Nov-Jan 2015","73.298","78.119","68.551"
"Dec-Feb 2015","73.433","78.282","68.658"
"Jan-Mar 2015","73.437","78.356","68.593"
"Feb-Apr 2015","73.434","78.237","68.704"
"Mar-May 2015","73.309","78.078","68.611"
"Apr-Jun 2015","73.383","78.169","68.667"
"May-Jul 2015","73.481","78.313","68.720"
"Jun-Aug 2015","73.559","78.519","68.670"
"Jul-Sep 2015","73.776","78.654","68.967"
"Aug-Oct 2015","73.980","79.057","68.974"
"Sep-Nov 2015","74.049","79.112","69.056"
"Oct-Dec 2015","74.112","79.186","69.109"
"Nov-Jan 2016","74.089","79.109","69.137"
"Dec-Feb 2016","74.140","79.159","69.188"
"Jan-Mar 2016","74.135","79.172","69.164"
"Feb-Apr 2016","74.191","79.224","69.224"
"Mar-May 2016","74.357","79.188","69.588"
"Apr-Jun 2016","74.417","79.296","69.600"
"May-Jul 2016","74.505","79.305","69.763"
"Jun-Aug 2016","74.486","79.419","69.614"
"Jul-Sep 2016","74.447","79.213","69.739"
"Aug-Oct 2016","74.433","79.108","69.815"
"Sep-Nov 2016","74.447","79.109","69.843"
"Oct-Dec 2016","74.566","79.237","69.953"
"Nov-Jan 2017","74.536","79.302","69.830"
"Dec-Feb 2017","74.624","79.349","69.957"
"Jan-Mar 2017","74.769","79.438","70.157"
"Feb-Apr 2017","74.767","79.404","70.187"
"Mar-May 2017","74.909","79.515","70.361"
"Apr-Jun 2017","75.104","79.751","70.515"
"May-Jul 2017","75.264","79.732","70.852"
"Jun-Aug 2017","75.138","79.623","70.708"
"Jul-Sep 2017","75.007","79.444","70.624"
"Aug-Oct 2017","75.076","79.408","70.796"
"Sep-Nov 2017","75.338","79.887","70.844"
"Oct-Dec 2017","75.175","79.635","70.768"
"Nov-Jan 2018","75.303","79.755","70.903"
"Dec-Feb 2018","75.375","79.812","70.990"
"Jan-Mar 2018","75.561","80.017","71.156"
"Feb-Apr 2018","75.594","79.961","71.275"
"Mar-May 2018","75.632","80.076","71.237"
"Apr-Jun 2018","75.549","80.107","71.040"
"May-Jul 2018","75.519","80.090","70.997"
"Jun-Aug 2018","75.557","80.130","71.033"
"Jul-Sep 2018","75.553","80.090","71.064"
"Aug-Oct 2018","75.712","80.278","71.194"
"Sep-Nov 2018","75.761","80.305","71.264"
"Oct-Dec 2018","75.833","80.315","71.397"
"Nov-Jan 2019","76.106","80.497","71.761"
"Dec-Feb 2019","76.127","80.481","71.819"
"Jan-Mar 2019","76.057","80.314","71.843"
"Feb-Apr 2019","76.113","80.293","71.976"
"Mar-May 2019","76.049","80.188","71.953"
"Apr-Jun 2019","76.102","80.129","72.116"
"May-Jul 2019","76.126","80.232","72.062"
"Jun-Aug 2019","75.874","80.152","71.639"
"Jul-Sep 2019","76.047","80.310","71.825"
"Aug-Oct 2019","76.153","80.372","71.975"
"Sep-Nov 2019","76.343","80.379","72.345"
"Oct-Dec 2019","76.471","80.563","72.419"
"Nov-Jan 2020","76.457","80.450","72.502"
"Dec-Feb 2020","76.562","80.477","72.684"
"Jan-Mar 2020","76.635","80.408","72.898"
"Feb-Apr 2020","76.369","80.053","72.720"
"Mar-May 2020","76.377","80.093","72.697"
