,fx,quarter,year
0,4.53,1,1791
1,4.52,2,1791
2,4.59,3,1791
3,4.54,4,1791
4,4.48,1,1792
5,4.42,2,1792
6,4.5,3,1792
7,4.45,4,1792
8,4.36,1,1793
9,4.45,2,1793
10,4.6,3,1793
11,4.62,4,1793
12,4.68,1,1794
13,4.68,2,1794
14,4.81,3,1794
15,4.81,4,1794
16,4.59,1,1795
17,4.56,2,1795
18,4.53,3,1795
19,4.42,4,1795
20,4.07,1,1796
21,4.29,2,1796
22,4.36,3,1796
23,4.42,4,1796
24,4.45,1,1797
25,4.42,2,1797
26,4.41,3,1797
27,4.45,4,1797
28,4.45,1,1798
29,4.45,2,1798
30,4.36,3,1798
31,4.28,4,1798
32,4.39,1,1799
33,4.01,2,1799
34,4.01,3,1799
35,4.11,4,1799
36,4.45,1,1800
37,4.57,2,1800
38,4.57,3,1800
39,4.59,4,1800
40,4.36,1,1801
41,4.33,2,1801
42,4.36,3,1801
43,4.45,4,1801
44,4.41,1,1802
45,4.45,2,1802
46,4.56,3,1802
47,4.51,4,1802
48,4.47,1,1803
49,4.51,2,1803
50,4.6,3,1803
51,4.57,4,1803
52,4.57,1,1804
53,4.58,2,1804
54,4.55,3,1804
55,4.5,4,1804
56,4.41,1,1805
57,4.33,2,1805
58,4.27,3,1805
59,4.38,4,1805
60,4.39,1,1806
61,4.42,2,1806
62,4.45,3,1806
63,4.45,4,1806
64,4.41,1,1807
65,4.38,2,1807
66,4.45,3,1807
67,4.45,4,1807
68,4.45,1,1808
69,4.63,2,1808
70,4.68,3,1808
71,4.74,4,1808
72,4.75,1,1809
73,4.47,2,1809
74,4.53,3,1809
75,4.53,4,1809
76,4.32,1,1810
77,4.28,2,1810
78,4.33,3,1810
79,4.26,4,1810
80,4.01,1,1811
81,3.87,2,1811
82,3.71,3,1811
83,3.67,4,1811
84,3.67,1,1812
85,3.55,2,1812
86,3.56,3,1812
87,3.68,4,1812
88,3.68,1,1813
89,3.74,2,1813
90,3.73,3,1813
91,3.84,4,1813
92,4.05,1,1814
93,4.29,2,1814
94,4.1,3,1814
95,4.51,4,1814
96,4.54,1,1815
97,4.75,2,1815
98,5.03,3,1815
99,5.28,4,1815
100,5.2,1,1816
101,5.37,2,1816
102,5.25,3,1816
103,5.06,4,1816
104,4.68,1,1817
105,4.58,2,1817
106,4.56,3,1817
107,4.59,4,1817
108,4.57,1,1818
109,4.49,2,1818
110,4.48,3,1818
111,4.45,4,1818
112,4.44,1,1819
113,4.53,2,1819
114,4.51,3,1819
115,4.57,4,1819
116,4.49,1,1820
117,4.45,2,1820
118,4.56,3,1820
119,4.58,4,1820
120,4.65,1,1821
121,4.84,2,1821
122,4.86,3,1821
123,4.93,4,1821
124,5.03,1,1822
125,4.95,2,1822
126,4.91,3,1822
127,5.01,4,1822
128,4.93,1,1823
129,4.7,2,1823
130,4.77,3,1823
131,4.79,4,1823
132,4.84,1,1824
133,4.87,2,1824
134,4.87,3,1824
135,4.89,4,1824
136,4.89,1,1825
137,4.78,2,1825
138,4.75,3,1825
139,4.89,4,1825
140,4.84,1,1826
141,4.89,2,1826
142,4.95,3,1826
143,4.99,4,1826
144,4.94,1,1827
145,4.93,2,1827
146,4.92,3,1827
147,4.95,4,1827
148,4.93,1,1828
149,4.94,2,1828
150,4.92,3,1828
151,4.92,4,1828
152,4.85,1,1829
153,4.85,2,1829
154,4.87,3,1829
155,4.89,4,1829
156,4.84,1,1830
157,4.78,2,1830
158,4.72,3,1830
159,4.75,4,1830
160,4.75,1,1831
161,4.82,2,1831
162,4.91,3,1831
163,4.92,4,1831
164,4.89,1,1832
165,4.89,2,1832
166,4.82,3,1832
167,4.82,4,1832
168,4.81,1,1833
169,4.81,2,1833
170,4.82,3,1833
171,4.75,4,1833
172,4.44,1,1834
173,4.55,2,1834
174,4.67,3,1834
175,4.77,4,1834
176,4.78,1,1835
177,4.86,2,1835
178,4.88,3,1835
179,4.89,4,1835
180,4.87,1,1836
181,4.78,2,1836
182,4.8,3,1836
183,4.86,4,1836
184,4.86,1,1837
185,5.0,2,1837
186,5.34,3,1837
187,5.11,4,1837
188,4.85,1,1838
189,4.74,2,1838
190,4.82,3,1838
191,4.89,4,1838
192,4.87,1,1839
193,4.88,2,1839
194,4.89,3,1839
195,4.9,4,1839
196,4.84,1,1840
197,4.81,2,1840
198,4.78,3,1840
199,4.86,4,1840
200,4.84,1,1841
201,4.81,2,1841
202,4.85,3,1841
203,4.9,4,1841
204,4.84,1,1842
205,4.78,2,1842
206,4.77,3,1842
207,4.76,4,1842
208,4.7,1,1843
209,4.77,2,1843
210,4.85,3,1843
211,4.84,4,1843
212,4.83,1,1844
213,4.82,2,1844
214,4.87,3,1844
215,4.9,4,1844
216,4.89,1,1845
217,4.88,2,1845
218,4.89,3,1845
219,4.87,4,1845
220,4.85,1,1846
221,4.9,2,1846
222,4.85,3,1846
223,4.78,4,1846
224,4.73,1,1847
225,4.75,2,1847
226,4.77,3,1847
227,4.93,4,1847
228,4.92,1,1848
229,4.92,2,1848
230,4.88,3,1848
231,4.85,4,1848
232,4.83,1,1849
233,4.81,2,1849
234,4.87,3,1849
235,4.89,4,1849
236,4.84,1,1850
237,4.87,2,1850
238,4.92,3,1850
239,4.91,4,1850
240,4.91,1,1851
241,4.92,2,1851
242,4.92,3,1851
243,4.92,4,1851
244,4.9,1,1852
245,4.88,2,1852
246,4.91,3,1852
247,4.89,4,1852
248,4.9,1,1853
249,4.88,2,1853
250,4.91,3,1853
251,4.89,4,1853
252,4.87,1,1854
253,4.88,2,1854
254,4.89,3,1854
255,4.9,4,1854
256,4.85,1,1855
257,4.9,2,1855
258,4.89,3,1855
259,4.87,4,1855
260,4.87,1,1856
261,4.91,2,1856
262,4.9,3,1856
263,4.9,4,1856
264,4.86,1,1857
265,4.89,2,1857
266,4.89,3,1857
267,6.23,4,1857
268,4.87,1,1858
269,4.87,2,1858
270,4.88,3,1858
271,4.88,4,1858
272,4.88,1,1859
273,4.9,2,1859
274,4.9,3,1859
275,4.9,4,1859
276,4.86,1,1860
277,4.88,2,1860
278,4.9,3,1860
279,4.79,4,1860
280,4.71,1,1861
281,4.76,2,1861
282,4.77,3,1861
283,4.8,4,1861
284,5.04,1,1862
285,5.1,2,1862
286,5.72,3,1862
287,6.42,4,1862
288,7.64,1,1863
289,7.31,2,1863
290,6.49,3,1863
291,7.34,4,1863
292,7.83,1,1864
293,9.17,2,1864
294,11.62,3,1864
295,10.78,4,1864
296,9.63,1,1865
297,6.88,2,1865
298,6.97,3,1865
299,7.13,4,1865
300,6.61,1,1866
301,6.63,2,1866
302,7.17,3,1866
303,6.94,4,1866
304,6.57,1,1867
305,6.68,2,1867
306,6.89,3,1867
307,6.77,4,1867
308,6.82,1,1868
309,6.83,2,1868
310,7.01,3,1868
311,6.6,4,1868
312,6.5,1,1869
313,6.66,2,1869
314,6.59,3,1869
315,6.1,4,1869
316,5.71,1,1870
317,5.53,2,1870
318,5.7,3,1870
319,5.42,4,1870
320,5.42,1,1871
321,5.47,2,1871
322,5.51,3,1871
323,5.4,4,1871
324,5.33,1,1872
325,5.47,2,1872
326,5.51,3,1872
327,5.42,4,1872
328,5.56,1,1873
329,5.75,2,1873
330,5.57,3,1873
331,5.31,4,1873
332,5.44,1,1874
333,5.5,2,1874
334,5.36,3,1874
335,5.41,4,1874
336,5.54,1,1875
337,5.66,2,1875
338,5.57,3,1875
339,5.55,4,1875
340,5.54,1,1876
341,5.5,2,1876
342,5.41,3,1876
343,5.26,4,1876
344,5.11,1,1877
345,5.18,2,1877
346,5.07,3,1877
347,4.97,4,1877
348,4.93,1,1878
349,4.9,2,1878
350,4.88,3,1878
351,4.86,4,1878
352,4.87,1,1879
353,4.88,2,1879
354,4.83,3,1879
355,4.83,4,1879
356,4.87,1,1880
357,4.89,2,1880
358,4.85,3,1880
359,4.84,4,1880
360,4.84,1,1881
361,4.86,2,1881
362,4.85,3,1881
363,4.85,4,1881
364,4.89,1,1882
365,4.9,2,1882
366,4.89,3,1882
367,4.86,4,1882
368,4.86,1,1883
369,4.88,2,1883
370,4.87,3,1883
371,4.85,4,1883
372,4.89,1,1884
373,4.88,2,1884
374,4.85,3,1884
375,4.85,4,1884
376,4.87,1,1885
377,4.88,2,1885
378,4.87,3,1885
379,4.87,4,1885
380,4.9,1,1886
381,4.9,2,1886
382,4.86,3,1886
383,4.85,4,1886
384,4.88,1,1887
385,4.88,2,1887
386,4.85,3,1887
387,4.86,4,1887
388,4.88,1,1888
389,4.89,2,1888
390,4.89,3,1888
391,4.89,4,1888
392,4.89,1,1889
393,4.9,2,1889
394,4.88,3,1889
395,4.86,4,1889
396,4.87,1,1890
397,4.88,2,1890
398,4.88,3,1890
399,4.86,4,1890
400,4.88,1,1891
401,4.89,2,1891
402,4.86,3,1891
403,4.85,4,1891
404,4.88,1,1892
405,4.89,2,1892
406,4.89,3,1892
407,4.88,4,1892
408,4.89,1,1893
409,4.89,2,1893
410,4.86,3,1893
411,4.86,4,1893
412,4.88,1,1894
413,4.9,2,1894
414,4.88,3,1894
415,4.89,4,1894
416,4.9,1,1895
417,4.9,2,1895
418,4.91,3,1895
419,4.9,4,1895
420,4.89,1,1896
421,4.9,2,1896
422,4.87,3,1896
423,4.86,4,1896
424,4.88,1,1897
425,4.88,2,1897
426,4.87,3,1897
427,4.86,4,1897
428,4.86,1,1898
429,4.86,2,1898
430,4.86,3,1898
431,4.86,4,1898
432,4.86,1,1899
433,4.88,2,1899
434,4.87,3,1899
435,4.87,4,1899
436,4.88,1,1900
437,4.88,2,1900
438,4.88,3,1900
439,4.86,4,1900
440,4.88,1,1901
441,4.89,2,1901
442,4.88,3,1901
443,4.88,4,1901
444,4.88,1,1902
445,4.88,2,1902
446,4.88,3,1902
447,4.88,4,1902
448,4.88,1,1903
449,4.88,2,1903
450,4.87,3,1903
451,4.85,4,1903
452,4.86,1,1904
453,4.87,2,1904
454,4.87,3,1904
455,4.86,4,1904
456,4.87,1,1905
457,4.87,2,1905
458,4.86,3,1905
459,4.86,4,1905
460,4.86,1,1906
461,4.85,2,1906
462,4.84,3,1906
463,4.85,4,1906
464,4.85,1,1907
465,4.86,2,1907
466,4.87,3,1907
467,4.86,4,1907
468,4.86,1,1908
469,4.87,2,1908
470,4.87,3,1908
471,4.86,4,1908
472,4.88,1,1909
473,4.88,2,1909
474,4.87,3,1909
475,4.87,4,1909
476,4.87,1,1910
477,4.87,2,1910
478,4.86,3,1910
479,4.86,4,1910
480,4.86,1,1911
481,4.86,2,1911
482,4.86,3,1911
483,4.87,4,1911
484,4.87,1,1912
485,4.87,2,1912
486,4.87,3,1912
487,4.85,4,1912
488,4.87,1,1913
489,4.87,2,1913
490,4.86,3,1913
491,4.85,4,1913
492,4.86,1,1914
493,4.88,2,1914
494,5.07,3,1914
495,4.91,4,1914
496,4.82,1,1915
497,4.79,2,1915
498,4.72,3,1915
499,4.69,4,1915
500,4.77,1,1916
501,4.77,2,1916
502,4.76,3,1916
503,4.76,4,1916
504,4.76,1,1917
505,4.76,2,1917
506,4.76,3,1917
507,4.76,4,1917
508,4.76,1,1918
509,4.76,2,1918
510,4.77,3,1918
511,4.77,4,1918
512,4.75,1,1919
513,4.65,2,1919
514,4.29,3,1919
515,4.03,4,1919
516,3.6,1,1920
517,3.91,2,1920
518,3.67,3,1920
519,3.47,4,1920
520,3.84,1,1921
521,3.9,2,1921
522,3.67,3,1921
523,4.0,4,1921
524,4.32,1,1922
525,4.44,2,1922
526,4.45,3,1922
527,4.51,4,1922
528,4.68,1,1923
529,4.63,2,1923
530,4.56,3,1923
531,4.42,4,1923
532,4.29,1,1924
533,4.34,2,1924
534,4.44,3,1924
535,4.6,4,1924
536,4.78,1,1925
537,4.84,2,1925
538,4.85,3,1925
539,4.85,4,1925
540,4.86,1,1926
541,4.86,2,1926
542,4.86,3,1926
543,4.85,4,1926
544,4.85,1,1927
545,4.86,2,1927
546,4.86,3,1927
547,4.88,4,1927
548,4.88,1,1928
549,4.88,2,1928
550,4.86,3,1928
551,4.85,4,1928
552,4.85,1,1929
553,4.85,2,1929
554,4.85,3,1929
555,4.88,4,1929
556,4.86,1,1930
557,4.86,2,1930
558,4.87,3,1930
559,4.86,4,1930
560,4.86,1,1931
561,4.86,2,1931
562,4.75,3,1931
563,3.66,4,1931
564,3.51,1,1932
565,3.69,2,1932
566,3.5,3,1932
567,3.32,4,1932
568,3.41,1,1933
569,3.88,2,1933
570,4.61,3,1933
571,4.98,4,1933
572,5.06,1,1934
573,5.1,2,1934
574,5.03,3,1934
575,4.96,4,1934
576,4.85,1,1935
577,4.89,2,1935
578,4.95,3,1935
579,4.92,4,1935
580,4.98,1,1936
581,4.98,2,1936
582,5.03,3,1936
583,4.9,4,1936
584,4.9,1,1937
585,4.93,2,1937
586,4.97,3,1937
587,4.98,4,1937
588,5.0,1,1938
589,4.97,2,1938
590,4.87,3,1938
591,4.71,4,1938
592,4.68,1,1939
593,4.68,2,1939
594,4.43,3,1939
595,3.96,4,1939
596,3.9,1,1940
597,3.47,2,1940
598,3.94,3,1940
599,4.03,4,1940
600,4.03,1,1941
601,4.03,2,1941
602,4.03,3,1941
603,4.03,4,1941
604,4.04,1,1942
605,4.04,2,1942
606,4.04,3,1942
607,4.04,4,1942
608,4.04,1,1943
609,4.04,2,1943
610,4.04,3,1943
611,4.04,4,1943
612,4.04,1,1944
613,4.04,2,1944
614,4.04,3,1944
615,4.04,4,1944
616,4.04,1,1945
617,4.04,2,1945
618,4.03,3,1945
619,4.03,4,1945
620,4.03,1,1946
621,4.03,2,1946
622,4.03,3,1946
623,4.03,4,1946
624,4.03,1,1947
625,4.03,2,1947
626,4.02,3,1947
627,4.03,4,1947
628,4.03,1,1948
629,4.03,2,1948
630,4.03,3,1948
631,4.03,4,1948
632,4.03,1,1949
633,4.03,2,1949
634,3.83,3,1949
635,2.8,4,1949
636,2.8,1,1950
637,2.8,2,1950
638,2.8,3,1950
639,2.8,4,1950
640,2.8,1,1951
641,2.8,2,1951
642,2.8,3,1951
643,2.8,4,1951
644,2.79,1,1952
645,2.8,2,1952
646,2.79,3,1952
647,2.8,4,1952
648,2.82,1,1953
649,2.82,2,1953
650,2.81,3,1953
651,2.81,4,1953
652,2.81,1,1954
653,2.82,2,1954
654,2.81,3,1954
655,2.79,4,1954
656,2.79,1,1955
657,2.79,2,1955
658,2.79,3,1955
659,2.8,4,1955
660,2.81,1,1956
661,2.81,2,1956
662,2.79,3,1956
663,2.78,4,1956
664,2.8,1,1957
665,2.79,2,1957
666,2.79,3,1957
667,2.8,4,1957
668,2.81,1,1958
669,2.81,2,1958
670,2.8,3,1958
671,2.81,4,1958
672,2.81,1,1959
673,2.82,2,1959
674,2.81,3,1959
675,2.8,4,1959
676,2.8,1,1960
677,2.81,2,1960
678,2.81,3,1960
679,2.81,4,1960
680,2.8,1,1961
681,2.79,2,1961
682,2.8,3,1961
683,2.81,4,1961
684,2.81,1,1962
685,2.81,2,1962
686,2.8,3,1962
687,2.8,4,1962
688,2.8,1,1963
689,2.8,2,1963
690,2.8,3,1963
691,2.8,4,1963
692,2.8,1,1964
693,2.8,2,1964
694,2.79,3,1964
695,2.79,4,1964
696,2.79,1,1965
697,2.8,2,1965
698,2.79,3,1965
699,2.8,4,1965
700,2.8,1,1966
701,2.79,2,1966
702,2.79,3,1966
703,2.79,4,1966
704,2.79,1,1967
705,2.8,2,1967
706,2.79,3,1967
707,2.62,4,1967
708,2.41,1,1968
709,2.39,2,1968
710,2.39,3,1968
711,2.39,4,1968
712,2.39,1,1969
713,2.39,2,1969
714,2.39,3,1969
715,2.39,4,1969
716,2.4,1,1970
717,2.4,2,1970
718,2.39,3,1970
719,2.39,4,1970
720,2.41,1,1971
721,2.42,2,1971
722,2.44,3,1971
723,2.5,4,1971
724,2.6,1,1972
725,2.6,2,1972
726,2.45,3,1972
727,2.36,4,1972
728,2.42,1,1973
729,2.53,2,1973
730,2.48,3,1973
731,2.38,4,1973
732,2.28,1,1974
733,2.4,2,1974
734,2.35,3,1974
735,2.33,4,1974
736,2.39,1,1975
737,2.32,2,1975
738,2.13,3,1975
739,2.04,4,1975
740,2.0,1,1976
741,1.81,2,1976
742,1.77,3,1976
743,1.65,4,1976
744,1.71,1,1977
745,1.72,2,1977
746,1.74,3,1977
747,1.81,4,1977
748,1.93,1,1978
749,1.84,2,1978
750,1.93,3,1978
751,1.98,4,1978
752,2.02,1,1979
753,2.08,2,1979
754,2.23,3,1979
755,2.16,4,1979
756,2.25,1,1980
757,2.28,2,1980
758,2.38,3,1980
759,2.39,4,1980
760,2.31,1,1981
761,2.08,2,1981
762,1.84,3,1981
763,1.88,4,1981
764,1.85,1,1982
765,1.78,2,1982
766,1.72,3,1982
767,1.65,4,1982
768,1.53,1,1983
769,1.55,2,1983
770,1.51,3,1983
771,1.47,4,1983
772,1.44,1,1984
773,1.4,2,1984
774,1.3,3,1984
775,1.21,4,1984
776,1.12,1,1985
777,1.26,2,1985
778,1.38,3,1985
779,1.44,4,1985
780,1.44,1,1986
781,1.51,2,1986
782,1.49,3,1986
783,1.43,4,1986
784,1.54,1,1987
785,1.64,2,1987
786,1.62,3,1987
787,1.76,4,1987
788,1.8,1,1988
789,1.84,2,1988
790,1.7,3,1988
791,1.79,4,1988
792,1.75,1,1989
793,1.63,2,1989
794,1.6,3,1989
795,1.59,4,1989
796,1.66,1,1990
797,1.67,2,1990
798,1.86,3,1990
799,1.94,4,1990
800,1.91,1,1991
801,1.71,2,1991
802,1.69,3,1991
803,1.78,4,1991
804,1.77,1,1992
805,1.81,2,1992
806,1.9,3,1992
807,1.58,4,1992
808,1.48,1,1993
809,1.53,2,1993
810,1.5,3,1993
811,1.49,4,1993
812,1.49,1,1994
813,1.5,2,1994
814,1.55,3,1994
815,1.58,4,1994
816,1.58,1,1995
817,1.6,2,1995
818,1.57,3,1995
819,1.56,4,1995
820,1.53,1,1996
821,1.52,2,1996
822,1.55,3,1996
823,1.64,4,1996
824,1.63,1,1997
825,1.64,2,1997
826,1.62,3,1997
827,1.66,4,1997
828,1.65,1,1998
829,1.65,2,1998
830,1.65,3,1998
831,1.68,4,1998
832,1.63,1,1999
833,1.61,2,1999
834,1.6,3,1999
835,1.63,4,1999
836,1.61,1,2000
837,1.53,2,2000
838,1.48,3,2000
839,1.45,4,2000
840,1.46,1,2001
841,1.42,2,2001
842,1.44,3,2001
843,1.44,4,2001
844,1.43,1,2002
845,1.46,2,2002
846,1.55,3,2002
847,1.57,4,2002
848,1.6,1,2003
849,1.62,2,2003
850,1.61,3,2003
851,1.71,4,2003
852,1.84,1,2004
853,1.81,2,2004
854,1.82,3,2004
855,1.87,4,2004
856,1.89,1,2005
857,1.86,2,2005
858,1.78,3,2005
859,1.75,4,2005
860,1.75,1,2006
861,1.83,2,2006
862,1.87,3,2006
863,1.92,4,2006
864,1.95,1,2007
865,1.99,2,2007
866,2.02,3,2007
867,2.04,4,2007
868,1.98,1,2008
869,1.97,2,2008
870,1.89,3,2008
871,1.57,4,2008
872,1.43,1,2009
873,1.55,2,2009
874,1.64,3,2009
875,1.63,4,2009
876,1.56,1,2010
877,1.49,2,2010
878,1.55,3,2010
879,1.58,4,2010
880,1.6,1,2011
881,1.63,2,2011
882,1.61,3,2011
883,1.57,4,2011
884,1.57,1,2012
885,1.58,2,2012
886,1.58,3,2012
887,1.61,4,2012
888,1.55,1,2013
889,1.54,2,2013
890,1.55,3,2013
891,1.62,4,2013
892,1.66,1,2014
893,1.68,2,2014
894,1.67,3,2014
895,1.58,4,2014
896,1.51,1,2015
897,1.53,2,2015
898,1.55,3,2015
899,1.52,4,2015
900,1.43,1,2016
901,1.43,2,2016
902,1.31,3,2016
903,1.24,4,2016
